ID,Cord (m),SSD_Thickness (m)
290,0.2286,0.00372371
773,0.0508,0.000812164
1201,0.0254,0.0176631
1181,0.0254,0.0172206
1044,0.0254,0.000907475
666,0.1524,0.0233328
1076,0.0254,0.0043284
1421,0.1016,0.0337792
1451,0.1016,0.0408268
110,0.3048,0.00425727
358,0.2286,0.00509068
460,0.1524,0.0015988
1352,0.1016,0.00478288
443,0.2286,0.0132672
246,0.2286,0.00293031
1262,0.1016,0.00131983
218,0.2286,0.00253511
488,0.1524,0.00193287
865,0.0508,0.0150478
49,0.3048,0.00331266
981,0.0254,0.00041229
1215,0.0254,0.0214178
872,0.0508,0.0264269
407,0.2286,0.0111706
1294,0.1016,0.00150092
1350,0.1016,0.00478288
299,0.2286,0.00372371
1407,0.1016,0.0124596
665,0.1524,0.0233328
1356,0.1016,0.0052139
267,0.2286,0.00313525
938,0.0508,0.0341183
766,0.0508,0.000812164
54,0.3048,0.00331266
963,0.0254,0.000400682
540,0.1524,0.00294804
936,0.0508,0.0341183
489,0.1524,0.00193287
620,0.1524,0.00909175
1485,0.1016,0.0437259
75,0.3048,0.00336729
696,0.1524,0.0483159
1250,0.1016,0.00121072
447,0.2286,0.0132672
1500,0.1016,0.0528487
1334,0.1016,0.00251435
1385,0.1016,0.0103088
1285,0.1016,0.00150092
498,0.1524,0.00193287
544,0.1524,0.00401199
711,0.1524,0.0584113
1386,0.1016,0.0103088
141,0.3048,0.00495741
1026,0.0254,0.000873218
875,0.0508,0.0264269
1491,0.1016,0.0528487
1093,0.0254,0.00449821
266,0.2286,0.00313525
1306,0.1016,0.00202822
1163,0.0254,0.016104
664,0.1524,0.0233328
982,0.0254,0.00041229
176,0.3048,0.00579636
1003,0.0254,0.000439472
421,0.2286,0.0111706
1367,0.1016,0.00578076
504,0.1524,0.00209405
123,0.3048,0.00452492
969,0.0254,0.000400682
1494,0.1016,0.0528487
419,0.2286,0.0111706
568,0.1524,0.00433288
157,0.3048,0.00497773
312,0.2286,0.00400603
521,0.1524,0.00243851
1364,0.1016,0.00578076
130,0.3048,0.00495741
255,0.2286,0.00293031
709,0.1524,0.0483159
685,0.1524,0.0252785
928,0.0508,0.0289853
376,0.2286,0.00614329
1240,0.0254,0.0229028
395,0.2286,0.0104404
1358,0.1016,0.0052139
1481,0.1016,0.0437259
641,0.1524,0.0193001
126,0.3048,0.00452492
964,0.0254,0.000400682
594,0.1524,0.00525474
309,0.2286,0.00400603
717,0.1524,0.0584113
79,0.3048,0.00336729
813,0.0508,0.00544854
828,0.0508,0.00566229
612,0.1524,0.00752039
252,0.2286,0.00293031
1095,0.0254,0.00449821
968,0.0254,0.000400682
368,0.2286,0.0051942
247,0.2286,0.00293031
616,0.1524,0.00909175
575,0.1524,0.00485029
1075,0.0254,0.0043284
