ID,Frequency (Hz),Attack_Angle (deg),FS_Velocity (m/s)
257,8000,2.0,71.3
580,4000,5.4,39.6
150,1600,3.0,31.7
117,1000,3.0,55.5
934,6300,15.4,31.7
825,1250,8.4,39.6
846,500,11.2,71.3
947,3150,19.7,71.3
1123,2000,12.7,71.3
243,6300,0.0,31.7
989,5000,0.0,39.6
53,500,0.0,31.7
119,1600,3.0,55.5
586,630,5.4,31.7
774,6300,0.0,31.7
129,400,3.0,39.6
362,500,5.3,71.3
328,5000,4.0,55.5
461,3150,0.0,71.3
1186,630,17.4,39.6
1080,5000,9.5,55.5
1428,315,12.3,55.5
791,2000,4.2,39.6
519,3150,2.7,71.3
64,6300,0.0,31.7
12,10000,0.0,71.3
869,4000,11.2,39.6
784,6300,4.2,71.3
601,800,7.2,71.3
354,1600,4.0,31.7
91,3150,1.5,39.6
1073,1000,9.5,55.5
985,2000,0.0,39.6
397,800,7.3,71.3
317,400,4.0,55.5
843,250,11.2,71.3
1340,3150,3.3,31.7
694,200,12.6,71.3
1008,2000,4.8,71.3
1270,800,0.0,39.6
629,10000,7.2,39.6
512,630,2.7,71.3
967,6300,0.0,71.3
1320,630,3.3,39.6
296,3150,2.0,31.7
1290,4000,0.0,31.7
1286,1600,0.0,31.7
428,630,7.3,39.6
793,3150,4.2,39.6
744,2500,0.0,55.5
919,200,15.4,31.7
453,5000,7.3,31.7
1021,2500,4.8,55.5
1389,2500,8.9,71.3
746,4000,0.0,55.5
9,5000,0.0,71.3
894,1000,15.4,55.5
271,6300,2.0,55.5
1228,315,22.2,39.6
217,400,0.0,39.6
73,3150,1.5,71.3
975,3150,0.0,55.5
522,6300,2.7,71.3
280,2000,2.0,39.6
861,630,11.2,39.6
863,1000,11.2,39.6
153,3150,3.0,31.7
84,630,1.5,39.6
823,800,8.4,39.6
408,250,7.3,55.5
15,500,0.0,55.5
617,630,7.2,39.6
1208,3150,17.4,31.7
1155,1000,17.4,71.3
775,8000,0.0,31.7
18,1000,0.0,55.5
1457,6300,12.3,39.6
1158,2000,17.4,71.3
987,3150,0.0,39.6
1309,1000,3.3,55.5
177,400,4.0,39.6
311,6300,4.0,71.3
416,1600,7.3,55.5
1142,3150,12.7,39.6
86,1000,1.5,39.6
1058,630,9.5,71.3
459,2000,0.0,71.3
1295,800,3.3,71.3
1039,3150,4.8,39.6
613,250,7.2,39.6
897,2000,15.4,55.5
1148,200,17.4,71.3
101,800,3.0,71.3
1376,1600,6.7,31.7
1311,1600,3.3,55.5
514,1000,2.7,71.3
1054,4000,4.8,31.7
1144,5000,12.7,39.6
494,4000,0.0,39.6
258,10000,2.0,71.3
1229,400,22.2,39.6
1263,4000,0.0,55.5
882,3150,15.4,71.3
364,800,5.3,71.3
19,1250,0.0,55.5
237,1600,0.0,31.7
1469,2500,12.3,31.7
1439,4000,12.3,55.5
284,5000,2.0,39.6
752,800,0.0,39.6
261,630,2.0,55.5
1420,2000,12.3,71.3
47,10000,0.0,39.6
732,3150,0.0,71.3
1187,800,17.4,39.6
462,4000,0.0,71.3
1453,2500,12.3,39.6
31,250,0.0,39.6
933,5000,15.4,31.7
1034,1000,4.8,39.6
160,500,4.0,71.3
577,2000,5.4,39.6
739,800,0.0,55.5
526,16000,2.7,71.3
171,6300,4.0,71.3
899,3150,15.4,55.5
690,3150,9.9,31.7
1220,2500,22.2,71.3
1249,4000,0.0,71.3
1371,500,6.7,31.7
65,8000,0.0,31.7
729,1600,0.0,71.3
898,2500,15.4,55.5
329,6300,4.0,55.5
1497,1600,15.6,39.6
736,8000,0.0,71.3
131,630,3.0,39.6
403,3150,7.3,71.3
264,1250,2.0,55.5
359,5000,4.0,31.7
1202,800,17.4,31.7
656,2000,9.9,55.5
34,500,0.0,39.6
935,200,19.7,71.3
35,630,0.0,39.6
1299,2000,3.3,71.3
800,1000,8.4,71.3
513,800,2.7,71.3
946,2500,19.7,71.3
1430,500,12.3,55.5
1184,400,17.4,39.6
369,2500,5.3,71.3
1418,1250,12.3,71.3
611,8000,7.2,71.3
583,315,5.4,31.7
942,1000,19.7,71.3
195,5000,0.0,71.3
